SZ_FCT_BRAND,SZ_FCT_CATG_ID,SZ_FCT_SORT_ORDER_NUMBER,SZ_FCT_NUMBER_OF_DIM,DIMENSION,SZ_FCT_NAME,SZ_FCT_ALPH_ALT_CTG_ID,SZ_FCT_ALPH_ALT_CTG,SZ_FACET_WEB_NAME,SZ_DIM1_NAME,SZ_DIM2_NAME,SZ_VARIANT_SORT_ORDER,SZ_FACET_DESCRIPTION,SZ_FCT_VAL_NM,SZ_FCT_VAL_NM_2,COL_POS_NBR,DEPARTMENT_TAG_NAME,PRODUCT_TYPE_TAG_NAME,CATEGORY_GROUP_TAG_NAME
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,XS,,0,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,S,,1,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,S,,1,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,S,,1,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,S,,1,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,M,,2,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,M,,2,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,M,,2,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,M,,2,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,L,,3,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,L,,3,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,L,,3,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,L,,3,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,XL,,4,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,XL,,4,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,XL,,4,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,3,Tall,XL,,4,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XXS,,0,Women,Apparel,Dresses
BR,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XXS,,0,Women,Apparel,Dresses
GAP,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XXS,,0,Women,Apparel,Dresses
ON,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XXS,,0,Women,Apparel,Dresses
AT,5,3,1,1,"Women's Dresses Alpha",,,Dresses,size,,4,Petite,XS,,1,Women,Apparel,Dresses
